Gene	D10_oocyte	D14_oocyte	8w_oocyte	MII_oocyte	PN5_zygote	2cell_early	2cell_late	4cell	8cell	ICM
Terf1	47.9138	51.8835	63.618	7.05283	70.0952	15.7805	35.7942	49.5599	54.6604	55.0097
D030040B21Rik	0.0221049	0.109842	0.113972	0.36574	0.108964	0.309189	0.420985	0.680144	0.27749	0
Tceb1	558.841	788.571	934.119	162.019	371.517	316.168	634.83	1607.55	2785.61	592.723
Stau2	17.0177	13.7568	7.50795	8.60457	12.4035	9.1083	3.36148	0.292488	0.466427	1.88889
Jph1	0.121664	0.105693	0.0392589	0.215678	0.195425	0.121874	0.232089	0.355858	0.258131	0.725763
Tmem70	100.015	104.37	75.95	28.2009	40.8434	25.5796	45.8358	83.4675	152.357	58.218
Ly96	12.9309	10.3334	5.03733	0.19544	2.02319	3.27598	8.39725	43.0123	142.882	11.9264
Gdap1	21.2793	18.7045	34.115	70.7011	67.1382	53.3369	43.949	14.2779	1.10226	0.128596
Pi15	0	0	0.00533979	0	0	0	0.0910706	0	0	0
Crispld1	0	0	0.0191059	0.294965	0.0548504	0.0222343	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0.171917	0.125474	0.328054	0.208967	0.139499	0.0586923	0	0
Ube2w	98.8959	105.558	118.651	20.3461	120.629	64.495	32.2039	11.1298	5.68424	12.7161
Defb41	3.11165	4.88484	23.0778	9.52452	4.80633	6.5735	2.15807	1.29427	0	0
Gm15386	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0
Il17f	50.4598	51.1208	57.7455	55.2668	56.2371	41.9757	14.3044	0.5858	0.198408	0.542409
Mcm3	25.9501	30.8875	30.2875	12.3643	22.2112	5.59869	17.6091	33.358	39.4657	76.0076
Pkhd1	0.41588	0.327695	1.31915	0.886272	1.14248	1.16433	0.553767	0.0266892	0.0374919	0.0335599
4930486I03Rik	0	0	0	0	0	3.26605e-10	0	0	0.0899528	0
6720483E21Rik	0	0	0	0	0	0	0.0494257	0	0	0
Paqr8	0.559179	0.380071	0.627137	0.147436	0.296017	0.239989	0.195329	0	0	0
Efhc1	0.433239	0.861715	0.650917	0.476441	0.675074	0.216038	0.190195	0	0	0
Tram2	5.85221	5.13555	10.6831	14.4648	13.6308	14.2044	11.6122	1.95363	1.11293	1.85333
Tfap2b	0.015545	0.0233093	1.02472	3.0174	1.83483	1.32078	0.819444	0.0358879	0.0245111	0.0120431
Gm4956	0.854067	0.901719	0.54721	0.142168	0.400219	0.129783	1.29005	0.503949	0.51196	0.101823
Khdc1a	20.1473	23.3137	9.34393	10.1702	22.2309	20.9103	27.0092	19.0212	24.0738	0.829203
Khdc1c	15.3342	24.2546	14.7312	22.3829	57.2191	41.7025	59.9634	60.9418	71.5585	1.84603
Gsta3	0	0	0.430687	0	0	0.230242	0.564312	0.435868	0.120918	2.13954
Tmem14a	6.28272	6.13216	10.5575	18.6422	19.5589	19.0117	5.95655	0.283783	0.500057	2.98292
4933415F23Rik	0	0	0	0	0	0.0371458	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0
Kcnq5	0.0165384	0.0307757	0.0266983	0.00917744	0.0409126	0.0207308	0.242854	0	0.0455155	0.00640574
Ogfrl1	0.76022	0.404337	0.249207	0.427851	0.506947	0.244785	0.681734	0.0278646	0.0474122	0.36459
1110058L19Rik	122.254	128.061	139.236	18.0021	76.0466	43.1388	19.3052	2.25616	11.4876	52.5008
Fam135a	6.14689	4.81034	2.94789	6.33759	3.42732	4.62734	8.51295	3.98124	0.46791	0.894596
Rims1	0.167713	0.208235	3.7751	10.8141	7.88569	10.4203	7.77709	0.154864	0.0263388	0.0389798
Col9a1	0	0	0	0	0	0.0196434	0.0431947	0	0	0
Col19a1	0.12823	0.0198786	0.307168	0.495815	0.337292	0.394094	0.525886	0.0452576	0	0
B3gat2	0.237067	0.369722	2.20297	0.424844	1.59989	1.74444	0.648908	0.14035	0.112808	0.773795
Smap1	7.03498	5.74375	4.02392	7.37076	4.97659	4.44009	6.22028	2.31569	5.14482	7.5106
4931408C20Rik	0	0.0337833	0.00878102	0	0	0	0	0	0	0
Lmbrd1	7.53311	6.01057	14.1985	2.70896	5.29538	2.22206	1.29551	12.6059	19.26	2.7102
Bai3	0.304365	0.429756	5.73718	8.33024	4.79808	2.7198	1.55335	0.193903	0.0164989	0
Gm20172	0	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0.0312012	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0
Khdc1b	1354.16	1502.71	1097.79	2111.72	2072.03	2001.63	840.798	133.888	22.8618	6.80792
Phf3	7.19828	7.91886	7.46818	19.0652	12.814	9.95002	13.4263	14.7368	9.42633	10.2678
Pih1d3	0.0964757	0.060083	0	0.10519	0	0.215389	0.105547	0	0	0
Gm4850	0	0.11437	0.408609	0.78253	0.221289	5.78557	206.572	47.6083	0.354794	0.0708562
4931428L18Rik	55.0322	57.7437	133.017	110.811	82.1606	84.8251	53.0318	3.20773	0.328275	0.32669
Lgsn	0.0854568	0.0556999	1.84253e-09	0.0923639	0.0521027	0.062758	0.219035	0.303415	2.51406e-09	2.26354e-09
Ptp4a1	0.136717	0.0930041	0.070719	0.159405	0.31716	0.831063	1.77265	4.91338	6.55727	6.19555
Gm13363	12.9625	11.6673	21.112	44.0639	46.2705	54.3987	116.379	50.3054	30.6612	17.4183
Khdrbs2	0.471616	2.28539	1.56962	1.93903	1.02506	0.519393	0.11458	0	0	0
Gm9839	0	0	0	0	0	0	0	0	0	0.00944454
Gm5415	0	0	0	0	0	0	0	0	0	0.00308362
1700001G17Rik	0.190827	0.119412	0.182666	0.101911	0.807495	0.794905	3.24557	0.949653	0	0.147903
Prim2	49.276	58.3541	49.0947	57.7425	14.968	4.58063	14.2259	31.6275	25.4584	31.998
Bag2	0.0364569	0.0453552	0.0234507	0	0	0.235863	2.66414	0.336212	0.228315	0.932163
Bend6	0.387164	0.309365	0.534296	0.243431	0.646579	1.21393	2.63098	0.276444	0.303499	0.0214262
Gm15455	0.283332	0.71639	0.208745	0.156394	0.174668	3.5756	40.4381	32.1793	4.70931	5.6524
Mir5103	0	0	0	0	0	0	0	0	0	0
Ccdc115	122.362	133.422	131.388	20.328	114.346	75.1517	44.2281	53.933	34.4498	15.761
Imp4	55.4561	64.9462	101.573	22.8099	59.0889	48.8327	74.6266	162.211	129.543	88.5501
Rab23	14.8913	17.0609	14.582	12.1375	13.75	7.92004	6.44975	3.93757	3.19265	1.9025
Ptpn18	144.571	142.249	48.4346	1.71017	4.76858	0.799107	2.23735	1.23574	1.76791	10.9151
Prss39	0	0	0	0.0637839	0	0	0	0.180409	0.0916964	0
Cfc1	0.302849	0.567397	0.775107	0	0.276017	0.335649	0	0	0.117817	2.58172
Amer3	0	0	0	0	0	0	0.00992085	0	0	0
Prss40	0	0	0	0.181103	0.0678537	0.0825143	0.809265	0	0	0
AA619741	29.0352	33.9737	16.4425	38.2155	30.6086	30.2846	7.6308	1.42476	0.16347	0.107633
Arhgef4	3.0079	3.45381	1.1601	0.226148	0.505382	0.443868	1.15158	4.59224	1.32286	0.54729
Zfp451	21.5912	11.8844	11.3357	9.73593	12.4166	27.291	14.5131	10.0735	6.71625	8.18068
Mir7669	0	0	0	0	0	0	0	0	0	0
Dst	4.1272	3.82181	2.58145	2.2493	2.09425	1.73972	5.59193	2.54914	0.505089	1.17157
Mir6896	0	0	0	0	0	0	0	0	0	0
Hs6st1	1.91074	2.75099	2.86888	2.5218	2.97286	2.7717	4.48559	2.10052	3.59377	6.05809
Uggt1	6.75987	6.71598	5.32394	3.84183	2.103	0.537913	2.74938	9.76569	25.8789	14.8093
Mir6897	0	0	0	0	0	0	0	0	0	0
Neurl3	0	0	0.0465924	0	0.0593784	0.132383	0.052951	0	0	0.018675
Plekhb2	6.91832	7.03182	9.30471	10.3211	8.99014	5.95738	3.11637	1.73717	0.914834	1.47533
Fam168b	1.73437	1.0358	1.15286	1.87821	1.57794	1.00307	1.91646	3.77587	2.12553	1.92448
Fer1l5	0.118343	0.169411	0.105793	0.1313	0.146342	0.100391	0.0735073	0.0140167	0.0143137	0.0282094
Kansl3	7.79307	6.41933	6.95152	3.55061	3.95214	4.7023	9.29998	24.83	17.5555	7.51269
Mir6898	0	0	0	0	0	0	0	0	0	0
Lman2l	10.6391	13.7354	14.697	3.36873	8.34622	7.70861	5.57148	3.56563	1.83976	10.313
Cnnm4	9.51646	9.58555	7.76931	6.01522	6.04436	5.22744	14.7617	13.8015	36.6922	1.65709
Ankrd23	0.100087	0.124477	0.0429384	0	0	0.0166168	1.34159	2.33366	0.313555	0.180945
Ankrd39	1.07811	1.01758	0.478222	0.0814662	0.1369	0.092489	2.98803	4.75677	2.64803	1.49785
Sema4c	0.0156519	0.0971569	0.0706748	0.173146	0.212537	0.0548255	0.126249	0.0481792	0.0122926	0.12126
Cox5b	27.5497	22.9074	27.4885	8.77095	16.7139	23.4155	21.9772	14.8573	29.3089	57.8814
Actr1b	10.5663	10.4372	6.16247	1.61944	1.6024	1.26816	1.38452	4.93832	14.1988	40.705
Cnnm3	1.13178	0.598914	0.159381	0.0248816	0.0416148	0.112463	2.27461	1.27006	0.640376	0.521726
4933424G06Rik	0.876193	1.17758	2.59042	0.0728714	0.410405	0.332716	0.196014	0	0	0
Tmem131	3.59022	2.87149	3.33984	4.97136	2.94917	2.39831	2.99283	1.39721	1.46133	6.56452
Arid5a	5.50331	4.81187	2.96168	0.686628	0.740344	1.32022	9.10497	3.55106	0.214361	0.141602
Fam178b	9.96506	14.3689	8.9411	2.52997	3.36723	3.52753	8.3911	8.98365	3.71434	3.32939
Coa5	9.21463	9.1439	8.45904	9.63205	9.70173	5.23977	2.76275	9.1782	19.0734	26.5856
Cnga3	0.033749	0	0	0	0	0.0253241	0.0742285	0	0.145757	0.209177
Zap70	4.12651	3.64513	2.42555	0.280163	1.10381	0.472237	0.537278	2.36788	8.28914	0.162161
Unc50	292.611	363.716	400.098	1106.91	610.107	525.668	258.41	81.2524	44.3704	12.2877
2010300C02Rik	0.108064	0.184428	0.2179	0.194445	0.216897	0.0879223	0.21799	1.7466	1.14614	0.167439
Lipt1	39.9192	40.4747	84.635	13.25	58.2071	51.9432	12.5232	8.53833	9.6914	3.58872
Mgat4a	20.2656	15.6612	11.5446	15.3886	7.98938	5.52715	8.5699	8.45021	2.31177	0.735319
4930594C11Rik	0.313656	0.0278329	0.0288774	0.0247093	0.0276075	0.0447641	0.541531	0.1551	0.0703079	0
Mitd1	12.2726	15.0056	23.2434	52.4397	39.1549	32.6018	4.53236	5.92616	14.3585	15.0694
Mrpl30	103.372	97.0243	90.5347	6.85991	27.2387	23.0648	33.5918	37.8254	134.443	165.123
Lyg2	0	0	0	0.0267863	0.0299386	0.0364078	0.0711958	0	0	0
Lyg1	0	0	0	0	0.136517	0.055336	0.245586	0	0	0
Inpp4a	6.73985	6.89772	6.65308	9.88514	9.02577	9.78916	9.27859	1.85066	0.205818	0.383294
Txndc9	38.6839	44.829	46.7863	6.36332	40.1854	22.9215	23.603	33.5296	27.1886	12.3546
Aff3	0.37817	0.20524	1.01496	1.067	1.06228	1.20492	0.913963	0.115252	0.272587	0.0183104
Lonrf2	1.54931	1.01116	1.40366	1.19562	2.48197	2.6561	1.81055	0.220849	0.0992109	0.0177818
Chst10	0.701791	0.169476	0.65984	0.452089	0.601007	0.789347	0.38571	0	0.0765053	0.015103
Nms	0	0	0	0	0	0	0	0	0	0
Pdcl3	51.9961	59.8132	54.4413	10.8884	24.5266	18.8185	9.70656	8.30769	22.7348	41.6284
Eif5b	14.9184	14.2268	23.5228	48.0291	28.3011	11.4277	17.9588	44.2699	41.4437	17.8193
Rev1	7.99927	7.24952	10.1244	16.5139	9.38352	7.45937	6.26606	2.39443	1.7704	2.15721
Mir6349	0	0	0	0	0	0	0	0	0	0
Npas2	12.1611	11.5497	23.4536	9.21215	11.4209	5.93921	1.23424	0.239426	0.666509	0.219104
Snord89	0	0	0	0	0	0	0	0	0	0
Cnot11	14.4562	9.34573	9.23413	9.68803	6.4553	12.2018	2.37457	1.69635	4.64276	3.04505
Rnf149	1.65355	0.513736	0.0832163	0.199162	0.0954263	0.580231	3.03564	5.95091	6.50322	6.99614
Creg2	0.0398603	0.0494572	0.36025	0.0663109	0.221758	0.139833	0.0292561	0	0	0.03088
Tsga10	7.31152	7.91784	5.95066	9.66112	10.7567	10.9954	7.06731	0.86878	0.3088	0.604165
Rfx8	0	0	0	0	0.119647	0.0808333	0.189837	0.0997816	0.152516	0
Gm3646	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	0
Gm16894	1.41225	3.7895	0.578939	1.50486	0.608936	0.641753	0	0	0	0
Il1r2	9.02054	12.4019	24.1818	1.21587	5.26914	1.39754	0.504182	0.0408553	0	0.0824765
Il1rl2	0	0	0.0215215	0.0367046	0	0.0999428	0.0733558	0	0	0
Rpl31	6.04141	5.5756	6.1543	0.819268	0.999364	1.86929	2.27075	7.64466	23.5099	34.0175
Tbc1d8	78.377	73.9421	60.7671	80.2172	30.8454	14.4635	5.01901	2.14279	0.283205	0.488864
Il1rl1	0	0	0	0	0	0	0	0	0	0.687038
Il1r1	16.7472	10.2107	11.1732	3.46256	3.3884	2.16445	1.16012	0.0760677	0.0291208	0.0095698
Il18rap	0.227016	0.163107	0.77112	0.436902	1.18112	0.610447	0.438336	0.432253	0	0
Slc9a4	1.99487	1.45111	5.19923	4.74128	3.51435	3.23652	1.2571	0.0359799	0	0.0120741
Slc9a2	0.17199	0.192199	0.0776446	0.190129	0.127336	0.146249	0	0	0	0
Map4k4	1.52661	1.82655	1.42508	0.613296	1.49925	0.907476	1.08776	0.396444	0.451812	2.83778
Mfsd9	14.6528	12.2634	18.0499	25.7484	13.9839	7.31083	1.87794	1.20071	0.151235	0.835926
Tmem182	2.10239	1.31221	9.805	7.41667	11.6841	16.9395	13.0635	0.48367	0	0
4930448I06Rik	0	0	0	0	0	0	0	0	0	0
Il18r1	0.407	0.805634	1.22472	3.53486	0.636261	1.49033	1.13585	0.736179	0	0
Pou3f3	0.0198844	0	0	0	0	0.0496953	0.101994	0	0.0156064	0
2900092D14Rik	0.0649224	0.0268827	0	0	0	0	0	0	0	0
Pantr1	0	0	0.296567	0.477875	0.276868	0.559117	0	0	0	0
Pantr2	0	0	0	0	0	0	0	0	0	0
Mrps9	12.4124	15.8018	17.515	8.39619	15.3988	11.7713	8.97875	16.0563	47.5747	36.149
Gpr45	0.0925067	0.0382806	0.0198914	0.0341148	0	0.0617244	0.0565297	0	0.0121092	0
Tgfbrap1	6.12096	5.38793	7.45656	8.72443	8.6011	9.83844	4.83392	3.76953	2.86202	1.58876
AI597479	24.0763	19.1598	11.0843	15.9314	21.9586	19.5165	9.62817	16.5981	17.3467	6.4557
1500015O10Rik	0.0955804	0	0	0	0	0	0.0691736	0	0	0
Nck2	2.19995	2.01523	0.773367	0.245103	0.71199	0.333015	0.16277	0.0854668	2.21418	1.79051
Mettl21c	0	0	0.0454517	0	0	0.0700227	0	0.0544363	0.0552749	0.220058
Uxs1	24.1831	28.6751	26.2219	23.657	32.3439	32.1483	10.7667	4.58456	2.29664	11.2929
Tpp2	8.46137	7.89297	9.03819	11.9013	10.4691	6.91302	7.73874	19.9521	24.0575	23.4836
Kdelc1	5.64686	6.9002	7.90469	20.1562	10.7677	6.32656	3.66476	0.460385	0.72537	4.02716
Tex30	132.246	151.784	176.612	64.1959	67.2959	36.0674	76.041	68.4545	28.9177	63.8732
Bivm	4.49048	3.25147	4.13045	7.68413	6.50493	7.06661	7.23657	0.14209	0.0922714	1.24851
Ercc5	9.84631	10.6407	9.35177	10.0344	6.88543	1.01427	1.13903	2.70357	2.92788	0.584433
Mettl21e	0	0	0	0	0	0	0	0	0	0
Col5a2	0	0	0	0	0.0536374	0	0	0	0.00681986	0.601422
Col3a1	0	0	0	0	0	0	0	0	0	0
Fhl2	0.645324	0.185516	0.0956219	0.703179	0.485873	0.66471	0.759757	0	0	8.94362
Slc40a1	0	0	0.115002	0.0197086	0.220018	0.508367	2.21572	0.548866	0	0.0967136
Gulp1	0.143796	0.306184	1.61556	1.74597	1.74749	1.54505	0.361226	0	0	0.95491
4930521E06Rik	1.01929	0.463746	0.177465	0.0990903	0	0	0.201281	0	0	0
Wdr75	47.9126	53.8534	70.0769	49.2378	50.0872	14.9438	56.9584	193.184	146.085	66.8447
Dnah7b	1.38089	0.998263	1.50085	2.48791	1.93411	2.19743	2.04638	0.545424	0.0644665	0.174565
Gm4776	0	0	0	0	0.0221235	0	0	0	0	0
Mir6350	0	0	0	0	0	0	0	0	0	0
Nabp1	8.44996	6.70177	4.01489	1.64937	3.09766	4.633	19.2684	73.426	54.5117	14.4026
Tmeff2	0.108452	0.0224455	2.10971	1.38485	1.75418	1.35587	1.29177	0.556302	0	0
Slc39a10	59.5385	54.3912	78.7212	152.53	80.8989	62.3551	37.3554	20.3905	10.2978	15.2551
9330175M20Rik	0	0	0	0	0	0	0	0	0	0
Sdpr	0.0199498	0.0247778	0.0514452	0	0.0245991	0.0199431	0	0	0	0
Stat4	10.6346	13.294	23.7816	26.1409	17.0294	16.6155	5.86645	1.95593	0.016091	0.0158853
Nab1	1.12209	1.15091	1.47802	2.76645	1.95271	2.33166	3.89003	1.4278	0.179968	0.656409
Gls	1.42955	1.48816	0.313025	0.129207	0.197393	0.37727	3.28991	3.40161	5.0011	3.18358
Myo1b	23.2809	12.832	11.1887	7.05388	9.70872	7.54534	16.0402	41.0296	55.127	28.291
Stat1	1.2881	1.45414	1.14146	1.73408	1.29645	1.25713	0.620162	0.26991	0.292961	1.93577
Tmem194b	2.25568	2.37214	3.21385	4.36424	1.80693	1.1597	0.475548	1.29986	0.209065	0.446785
Inpp1	0.224894	0.606265	1.0366	0.657006	0.644073	0.205135	6.21666	0.288038	0.11735	0.14521
Hibch	0.354359	0.244989	1.35444	0.301688	0.579625	0.274115	1.72553	13.3366	13.2938	13.4385
1700019D03Rik	6.86088	7.00852	14.866	18.8576	13.4917	9.02864	6.71143	1.93824	0.817471	28.8803
Mstn	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0.175639	0	0.221905	0	0	0	0.125416	0	0	3.40138
Pms1	24.0373	25.3598	29.9456	69.5846	48.8906	14.6261	1.34199	2.01285	2.05342	11.8348
Ormdl1	47.0764	43.0108	27.7571	29.7229	6.88603	2.2935	1.30523	3.04708	11.5772	26.4294
Dnah7a	0.87963	0.579918	0.981615	1.48434	1.12777	1.39193	1.08595	0.231091	0.0179762	0.025371
Mfsd6	0.601107	0.441512	0.862942	0.788294	0.742701	0.88476	1.30057	0.727066	0.173515	0.0095038
Stk17b	0.3874	0.458173	0.0118953	0	0	0.816358	8.13962	3.76132	7.74785	8.68246
Ccdc150	1.10346	0.524647	0.625977	0.588696	0.560324	0.497346	0.068863	0.060224	0.208974	0.545668
Gtf3c3	9.92669	7.05445	7.15905	11.0705	11.8256	6.59632	11.1818	24.7002	14.2493	13.5158
Pgap1	1.1925	0.703146	0.794385	1.85977	1.00164	0.758637	0.324562	0.360756	0.159138	1.97135
Asnsd1	30.9946	37.2915	43.4215	8.11684	35.2054	53.5432	33.1645	26.4185	26.8023	66.1549
Hecw2	0.372191	0.268214	1.36624	0.819006	0.971295	1.44872	1.81219	1.21617	1.22658	0.263031
Mir7681	0	0	0	0	0	0	0	0	0	0
Osgepl1	22.5699	25.8468	24.9355	27.0437	30.5393	29.9706	10.5928	5.59998	10.4096	10.6089
Hspd1	26.008	22.9428	15.1969	14.7222	19.4489	18.2828	19.4417	15.8204	50.7027	178.938
Ankrd44	46.5936	36.3389	33.4731	56.4778	81.8905	68.8436	43.619	7.09243	0.759656	0.588702
Hspe1	54.8024	57.5315	63.7818	24.0271	31.9669	56.9534	44.9037	17.4768	77.58	304.616
Rftn2	0.325244	0.423996	1.89855	1.00715	1.28459	0.691586	0.429245	1.21385	4.15048	0.113389
Sf3b1	41.628	41.1161	55.7236	120.422	81.1041	64.14	33.2767	112.682	128.782	116.779
Mars2	3.3859	2.19553	1.34515	1.95032	0.839954	1.97907	16.4586	34.1226	13.2676	5.13098
Mob4	58.7141	59.6044	38.3736	93.2262	68.003	53.8029	23.4162	28.0225	39.7484	39.2006
Plcl1	0.674327	0.30421	3.13819	3.68791	4.26357	2.39928	0.315021	0.121361	0.0688536	0.00678443
9130227L01Rik	0.481178	0.470247	0.619205	0.980332	1.01327	0.667447	2.28637	0.0264173	0	0
Coq10b	75.1446	78.6227	60.4086	108.013	109.712	122.644	59.226	21.219	13.0139	27.7925
Boll	0.0763463	0.476825	0.195385	0.411117	0.0927603	0.263205	0.166283	0.117047	0	0.0591667
Satb2	1.07739	0.914016	0.719072	0.877466	1.37238	2.25004	4.26779	0.380821	3.88823	4.91712
1700003I22Rik	0	0	0	0	0	0	0.633552	0	0	0
Hsfy2	0.553079	0.939592	0.16141	0	0.369038	0.498638	0	0	0	0
4930558J18Rik	0.47218	0.547991	0.992843	0.311199	0.425671	0.517649	0.299291	0.120998	0.34526	1.75604
BC055402	0	0	0.011792	0	0	0	0	0	0	0
1700066M21Rik	33.4231	18.4868	16.4543	39.5868	15.8726	21.7381	9.25426	5.93613	2.45414	1.76196
9130024F11Rik	0.467935	0.440976	0.29933	0.780568	0.530515	1.21292	0.723708	0.0985874	0.9017	1.48621
Spats2l	0.0453323	0.0562757	0.653121	0.12345	0.678091	0.272251	0.0443255	0.74619	0.316374	0.117067
Aox1	0	0	0	0	0	0.00672845	0.0295726	0.0103428	0	0
Aox3	0	0	0.0784635	0.014961	0.0667541	0.0405895	0.0594664	0	0.010615	0.0732726
Kctd18	5.94214	6.78867	5.31089	7.85486	6.35001	2.59662	11.8247	29.876	13.1694	10.3462
Aox4	0.950553	0.553402	1.22698	0.910327	1.31964	1.42257	0.783577	0.442618	0.175222	0.00909142
Aox2	0.012251	0	0.0395313	0.108585	0.0151368	0.0429515	0.143815	0.216883	0	0
Bzw1	50.0406	44.1741	26.6137	30.1302	38.5297	39.0262	206.347	368.056	280.378	222.989
