Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Adrenomedullin signaling pathway	2.38E00	7.58E-02	NaN	ADCY2,ARNT,CAMK4,CFH,FOS,GPR182,GRB2,IL36G,PIK3R1,PLCB1,PLCL1,RASD1,RXRA,RXRG,SOS2
P2Y Purigenic Receptor Signaling Pathway	2.28E00	8.59E-02	NaN	ADCY2,ATF2,FOS,ITGA2B,JUN,P2RY1,PIK3R1,PLCB1,PLCL1,PRKCH,RASD1
Erythropoietin Signaling	2.27E00	1.04E-01	NaN	FOS,GRB2,JUN,PIK3R1,PRKCH,RASD1,SOCS1,SOS2
Melanocyte Development and Pigmentation Signaling	2.23E00	9.47E-02	NaN	ADCY2,ATF2,GRB2,KITLG,MC1R,PIK3R1,POMC,RASD1,SOS2
cAMP-mediated signaling	2.2E00	7.05E-02	NaN	ADCY2,ATF2,CAMK4,CHRM3,CXCR2,DRD3,DUSP1,DUSP4,FICD,GRK4,MC1R,NPY1R,PDE3B,PDE6A,PTGER4,RAPGEF4
Renal Cell Carcinoma Signaling	2.14E00	9.88E-02	NaN	ARNT,EGLN3,FOS,GRB2,JUN,PIK3R1,RASD1,SOS2
JAK/Stat Signaling	2.14E00	9.88E-02	NaN	FOS,GRB2,JUN,PIK3R1,RASD1,SOCS1,SOCS4,SOS2
Apelin Endothelial Signaling Pathway	2.13E00	8.62E-02	NaN	ADCY2,ARNT,CAMK4,FOS,JUN,MEF2D,PIK3R1,PLCB1,PRKCH,RASD1
ILK Signaling	2.12E00	7.29E-02	NaN	ACTN2,ATF2,FOS,JUN,MYH4,PIK3R1,PPP2R2B,PPP2R5A,PTGS2,RAC2,RND3,SNAI1,SNAI2,TGFB1I1
Glucocorticoid Receptor Signaling	2.11E00	6.23E-02	NaN	A2M,CD163,DUSP1,FOS,GRB2,GTF2B,HSPA1A/HSPA1B,Hspa1b,HSPA2,JUN,KRT8,NR3C2,NRIP1,PIK3R1,POLR2A,POMC,PTGS2,RASD1,SOS2,TAF7L,TSC22D3
ERK/MAPK Signaling	2.08E00	7.22E-02	NaN	ATF2,DUSP1,DUSP4,FOS,GRB2,PIK3R1,PLA2G4B,PPP1R10,PPP2R2B,PPP2R5A,RAC2,RAPGEF4,RASD1,SOS2
Cell Cycle Regulation by BTG Family Proteins	2.06E00	1.35E-01	NaN	BTG1,BTG2,CCNE2,PPP2R2B,PPP2R5A
SAPK/JNK Signaling	2E00	8.74E-02	NaN	ATF2,DUSP10,DUSP4,GRB2,JUN,PIK3R1,RAC2,RASD1,SOS2
Breast Cancer Regulation by Stathmin1	1.95E00	6.97E-02	NaN	ADCY2,ARHGEF12,CAMK4,CCNE2,GRB2,PIK3R1,PLCB1,PPP1R10,PPP2R2B,PPP2R5A,PRKCH,RASD1,RB1CC1,SOS2
Growth Hormone Signaling	1.9E00	9.72E-02	NaN	A2M,FOS,IGFBP3,PIK3R1,PRKCH,SOCS1,SOCS4
Small Cell Lung Cancer Signaling	1.9E00	9.72E-02	NaN	CCNE2,CDKN2B,PIK3R1,PTGS2,RXRA,RXRG,TRAF1
Corticotropin Releasing Hormone Signaling	1.89E00	7.59E-02	NaN	ADCY2,ATF2,BDNF,CACNA1S,CAMK4,FOS,JUN,MEF2D,POMC,PRKCH,PTGS2
EGF Signaling	1.89E00	1.07E-01	NaN	CSNK2A1,FOS,GRB2,JUN,PIK3R1,SOS2
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.86E00	6.99E-02	NaN	A2M,BAMBI,COL4A1,COL4A2,COL4A3BP,EDNRB,FGF1,FLT4,IGFBP3,IL1RAP,IL6R,LEPR,MYH4
p70S6K Signaling	1.8E00	7.69E-02	NaN	GRB2,PIK3R1,PLCB1,PLCL1,PLD1,PPP2R2B,PPP2R5A,PRKCH,RASD1,SOS2
PPARα/RXRα Activation	1.79E00	6.84E-02	NaN	ACOX1,ADCY2,CAND1,GRB2,IL1RAP,JUN,LPL,PLCB1,PLCL1,RASD1,RXRA,SOS2,TGS1
HGF Signaling	1.78E00	8.04E-02	NaN	ATF2,FOS,GRB2,JUN,PIK3R1,PRKCH,PTGS2,RASD1,SOS2
Colorectal Cancer Metastasis Signaling	1.77E00	6.3E-02	NaN	ADCY2,DCC,FOS,FZD4,GRB2,IL6R,JUN,MMP25,PIK3R1,PTGER4,PTGS2,RAC2,RASD1,RND3,SOS2,WNT4
Dopamine Receptor Signaling	1.75E00	9.09E-02	NaN	ADCY2,COMT,DRD3,GCH1,PPP1R10,PPP2R2B,PPP2R5A
Semaphorin Signaling in Neurons	1.75E00	1E-01	NaN	ARHGEF12,DPYSL4,DPYSL5,NRP1,RAC2,RND3
VDR/RXR Activation	1.72E00	8.97E-02	NaN	CALB1,CSNK2A1,GTF2B,IGFBP3,PRKCH,RXRA,RXRG
Integrin Signaling	1.72E00	6.51E-02	NaN	ACTN2,Arf2,CAPN6,GRB2,ITGA2B,NEDD9,PFN4,PIK3R1,Ppp1r12b,RAC2,RASD1,RND3,SOS2,TSPAN1
Neuroinflammation Signaling Pathway	1.72E00	5.98E-02	NaN	APP,ATF2,BDNF,CALB1,CASP8,CD200R1,CX3CL1,FOS,GABRA1,GAD2,HLA-A,HLA-E,HLA-F,IL6R,JUN,PIK3R1,PLA2G4B,PTGS2
Phospholipases	1.71E00	9.84E-02	NaN	ABHD3,PLA2G16,PLA2G4B,PLCB1,PLCL1,PLD1
PCP pathway	1.71E00	9.84E-02	NaN	ATF2,FZD4,JUN,PFN4,PRICKLE1,WNT4
TNFR2 Signaling	1.71E00	1.33E-01	NaN	FOS,JUN,TNFAIP3,TRAF1
Huntington's Disease Signaling	1.69E00	6.3E-02	NaN	ATF2,BDNF,CAPN6,CASP8,GRB2,HSPA1A/HSPA1B,Hspa1b,HSPA2,JUN,PIK3R1,PLCB1,POLR2A,PRKCH,PSMB11,SOS2
PI3K Signaling in B Lymphocytes	1.64E00	7.25E-02	NaN	ATF2,ATF3,CAMK4,FOS,JUN,PIK3R1,PLCB1,PLCL1,RASD1,VAV3
Acute Phase Response Signaling	1.63E00	6.7E-02	NaN	A2M,FOS,GRB2,IL1RAP,IL36G,IL6R,JUN,PIK3R1,RASD1,SOCS1,SOCS4,SOS2
Renin-Angiotensin Signaling	1.63E00	7.56E-02	NaN	ADCY2,ATF2,FOS,GRB2,JUN,PIK3R1,PRKCH,RASD1,SOS2
Thrombopoietin Signaling	1.62E00	9.38E-02	NaN	FOS,GRB2,JUN,PIK3R1,PRKCH,RASD1
Eicosanoid Signaling	1.62E00	9.38E-02	NaN	ABHD3,ALOX15,PLA2G16,PLA2G4B,PTGER4,PTGS2
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.58E00	7.84E-02	NaN	BDNF,CAMK4,FOS,NTRK2,PIK3R1,PLCB1,PLCL1,PRKCH
CD40 Signaling	1.56E00	9.09E-02	NaN	FOS,JUN,PIK3R1,PTGS2,TNFAIP3,TRAF1
ErbB2-ErbB3 Signaling	1.56E00	9.09E-02	NaN	GRB2,JUN,Nrg1,PIK3R1,RASD1,SOS2
Dopamine-DARPP32 Feedback in cAMP Signaling	1.55E00	6.75E-02	NaN	ADCY2,ATF2,CACNA1S,CAMK4,DRD3,PLCB1,PLCL1,PPP1R10,PPP2R2B,PPP2R5A,PRKCH
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.53E00	1.18E-01	NaN	CASP8,HLA-A,HLA-E,HLA-F
IL-4 Signaling	1.51E00	8.14E-02	NaN	GRB2,HLA-A,NR3C2,PIK3R1,RASD1,SOCS1,SOS2
CDP-diacylglycerol Biosynthesis I	1.51E00	1.5E-01	NaN	ABHD5,LCLAT1,LPCAT4
CREB Signaling in Neurons	1.51E00	6.25E-02	NaN	ADCY2,ATF2,CACNA1S,CAMK4,GRB2,GTF2B,PIK3R1,PLCB1,PLCL1,POLR2A,PRKCH,RASD1,SOS2
Thyroid Cancer Signaling	1.49E00	9.8E-02	NaN	BDNF,NTRK2,RASD1,RXRA,RXRG
Thrombin Signaling	1.49E00	6.22E-02	NaN	ADCY2,ARHGEF12,CAMK4,GATA3,GRB2,PIK3R1,PLCB1,PLCL1,Ppp1r12b,PRKCH,RAC2,RASD1,RND3
PDGF Signaling	1.49E00	8.05E-02	NaN	CSNK2A1,FOS,GRB2,JUN,PIK3R1,RASD1,SOS2
PTEN Signaling	1.49E00	7.14E-02	NaN	CSNK2A1,FLT4,GRB2,NTRK2,PIK3R1,PREX2,RAC2,RASD1,SOS2
ErbB4 Signaling	1.48E00	8.7E-02	NaN	GRB2,Nrg1,PIK3R1,PRKCH,RASD1,SOS2
Gαs Signaling	1.47E00	7.48E-02	NaN	ADCY2,ATF2,CHRM3,MC1R,PTGER4,RAPGEF2,RAPGEF4,RYR3
Sorbitol Degradation I	1.46E00	1E00	NaN	SORD
Histamine Biosynthesis	1.46E00	1E00	NaN	HDC
Ceramide Signaling	1.44E00	7.87E-02	NaN	FOS,JUN,PIK3R1,PPP2R2B,PPP2R5A,RASD1,S1PR4
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.44E00	7.87E-02	NaN	CAMK4,FOS,GRB2,JUN,RASD1,SOS2,VAV3
Cardiac Hypertrophy Signaling (Enhanced)	1.44E00	5.13E-02	NaN	ADCY2,ATF2,CACNA1S,CAMK4,CXCR2,EDNRB,FGF1,FICD,FZD4,IL11,IL36G,IL5RA,IL6R,JUN,MEF2D,PDE3B,PDE6A,PIK3R1,PLCB1,PLCL1,PRKCH,PTGS2,RASD1,RYR3,WNT4
Phospholipase C Signaling	1.44E00	5.84E-02	NaN	ADCY2,ARHGEF12,ATF2,CAMK4,GRB2,MEF2D,PLA2G4B,PLCB1,PLD1,Ppp1r12b,PRKCH,RAC2,RASD1,RND3,SOS2
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.42E00	7.78E-02	NaN	GRB2,HLA-A,HLA-E,HLA-F,PIK3R1,PPP2R2B,PPP2R5A
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.4E00	1.36E-01	NaN	ABHD5,LCLAT1,LPCAT4
GNRH Signaling	1.39E00	6.36E-02	NaN	ADCY2,ATF2,CACNA1S,CAMK4,FOS,GRB2,JUN,PLCB1,PRKCH,RASD1,SOS2
Type I Diabetes Mellitus Signaling	1.39E00	7.21E-02	NaN	CASP8,GAD2,HLA-A,HLA-E,HLA-F,IL1RAP,SOCS1,SOCS4
Protein Kinase A Signaling	1.39E00	5.26E-02	NaN	ADCY2,ATF2,CAMK4,DCC,DUSP1,DUSP10,DUSP4,DUSP5,EPM2A,FICD,MYH4,PDE3B,PDE6A,PHKG2,PLCB1,PLCL1,PPP1R10,PRKCH,PTGS2,PTPRG,RYR3
Cardiac Hypertrophy Signaling	1.36E00	5.81E-02	NaN	ADCY2,ATF2,CACNA1S,CAMK4,GRB2,IL6R,JUN,MEF2D,PIK3R1,PLCB1,PLCL1,RAC2,RASD1,RND3
Non-Small Cell Lung Cancer Signaling	1.35E00	8.11E-02	NaN	GRB2,PIK3R1,RASD1,RXRA,RXRG,SOS2
T Cell Exhaustion Signaling Pathway	1.35E00	6.25E-02	NaN	BCL6,FOS,HLA-A,HLA-E,HLA-F,IL6R,JUN,PIK3R1,PPP2R2B,PPP2R5A,RASD1
Sperm Motility	1.33E00	5.88E-02	NaN	ABHD3,CAMK4,CLK3,DDR2,EPHB1,FLT4,NTRK2,PLA2G16,PLA2G4B,PLCB1,PLCL1,PRKCH,SLC16A10
PKCθ Signaling in T Lymphocytes	1.33E00	6.41E-02	NaN	CACNA1S,FOS,GRB2,HLA-A,JUN,PIK3R1,RAC2,RASD1,SOS2,VAV3
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.33E00	5.37E-02	NaN	ATF2,BCL6,CAMK4,CASP8,FOS,GRB2,HLA-A,HLA-E,HLA-F,JUN,LEPR,PIK3R1,PPP2R2B,PPP2R5A,RAC2,RASD1,RND3,SOS2
ErbB Signaling	1.32E00	7.37E-02	NaN	FOS,GRB2,JUN,PIK3R1,PRKCH,RASD1,SOS2
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.31E00	5.43E-02	NaN	ATF2,CAMK4,DKK1,FOS,FZD4,IL1RAP,IL36G,IL6R,JUN,PIK3R1,PLCB1,PLCL1,PRKCH,RASD1,SOCS1,TRAF1,WNT4
Gαq Signaling	1.3E00	6.33E-02	NaN	CALCR,CAMK4,CHRM3,PIK3R1,PLCB1,PLD1,PRKCH,RAC2,RGS16,RND3
GDNF Family Ligand-Receptor Interactions	1.28E00	7.79E-02	NaN	FOS,GRB2,JUN,PIK3R1,RASD1,SOS2
ATM Signaling	1.28E00	7.22E-02	NaN	ATF2,CCNB3,GADD45B,JUN,PPP2R2B,PPP2R5A,TLK2
eNOS Signaling	1.27E00	6.25E-02	NaN	ADCY2,CAMK4,CASP8,CHRM3,FLT4,HSPA1A/HSPA1B,Hspa1b,HSPA2,PIK3R1,PRKCH
Fc Epsilon RI Signaling	1.26E00	6.78E-02	NaN	GRB2,PIK3R1,PLA2G4B,PRKCH,RAC2,RASD1,SOS2,VAV3
Sphingosine-1-phosphate Signaling	1.26E00	6.78E-02	NaN	ADCY2,CASP8,PIK3R1,PLCB1,PLCL1,RAC2,RND3,S1PR4
p38 MAPK Signaling	1.26E00	6.78E-02	NaN	ATF2,DDIT3,DUSP1,DUSP10,IL1RAP,IL36G,MEF2D,PLA2G4B
Role of NFAT in Regulation of the Immune Response	1.26E00	6.04E-02	NaN	ATF2,CAMK4,FOS,GRB2,HLA-A,JUN,MEF2D,PIK3R1,PLCB1,RASD1,SOS2
Role of MAPK Signaling in the Pathogenesis of Influenza	1.26E00	7.69E-02	NaN	ABHD3,ATF2,PLA2G16,PLA2G4B,PTGS2,RASD1
Opioid Signaling Pathway	1.25E00	5.6E-02	NaN	ADCY2,ATF2,CACNA1S,CAMK4,FOS,GRK4,PLCB1,POMC,PRKCH,RAC2,RASD1,RGS16,RYR3,SOS2
Protein Ubiquitination Pathway	1.25E00	5.49E-02	NaN	DNAJB13,DNAJB14,Dnajb3,DNAJB9,DNAJC1,HLA-A,HLA-E,HLA-F,HSPA1A/HSPA1B,HSPA2,UBE2T,UBE2W,USP24,USP26,USP9Y
Axonal Guidance Signaling	1.24E00	4.93E-02	NaN	ADAM8,ADAMTS1,ADAMTS3,ARHGEF12,BDNF,DCC,DPYSL5,EFNA5,EFNB2,EPHB1,FZD4,GRB2,MMP25,NRP1,NTRK2,PIK3R1,PLCB1,PLCL1,PRKCH,RAC2,RASD1,ROBO1,SOS2,WNT4
IL-7 Signaling Pathway	1.24E00	7.59E-02	NaN	BCL6,GRB2,JUN,PIK3R1,SOCS1,SOS2
MIF Regulation of Innate Immunity	1.24E00	9.52E-02	NaN	FOS,JUN,PLA2G4B,PTGS2
tRNA Splicing	1.24E00	9.52E-02	NaN	FICD,PDE3B,PDE6A,TSEN2
IL-3 Signaling	1.22E00	7.5E-02	NaN	FOS,GRB2,JUN,PIK3R1,PRKCH,RASD1
Nitric Oxide Signaling in the Cardiovascular System	1.22E00	7E-02	NaN	ARG2,CACNA1S,CAMK4,FLT4,PDE3B,PIK3R1,PRKCH
Chemokine Signaling	1.22E00	7.5E-02	NaN	CAMK4,FOS,JUN,PLCB1,Ppp1r12b,RASD1
LXR/RXR Activation	1.21E00	6.61E-02	NaN	ARG2,IL1RAP,IL36G,LPL,MYLIP,PTGS2,RXRA,RXRG
B Cell Receptor Signaling	1.21E00	5.91E-02	NaN	ATF2,BCL6,CAMK4,GRB2,JUN,PAG1,PIK3R1,RAC2,RASD1,SOS2,VAV3
BAG2 Signaling Pathway	1.21E00	9.3E-02	NaN	HSPA1A/HSPA1B,Hspa1b,HSPA2,PSMB11
Systemic Lupus Erythematosus Signaling	1.21E00	5.63E-02	NaN	CAMK4,FOS,GRB2,HLA-A,HLA-E,HLA-F,IL36G,IL6R,JUN,PIK3R1,RASD1,RNPC3,SOS2
Aryl Hydrocarbon Receptor Signaling	1.2E00	6.29E-02	NaN	ALDH1A2,ARNT,CCNE2,CYP1A1,FOS,JUN,NRIP1,RXRA,RXRG
VEGF Signaling	1.2E00	6.93E-02	NaN	ACTN2,ARNT,FLT4,GRB2,PIK3R1,RASD1,SOS2
Synaptic Long Term Depression	1.2E00	5.88E-02	NaN	ABHD3,CACNA1S,PLA2G16,PLA2G4B,PLCB1,PLCL1,PPP2R2B,PPP2R5A,PRKCH,RASD1,RYR3
Wnt/Ca+ pathway	1.19E00	8.06E-02	NaN	ATF2,FZD4,PDE6A,PLCB1,PLCL1
Glioblastoma Multiforme Signaling	1.18E00	6.02E-02	NaN	FZD4,GRB2,PIK3R1,PLCB1,PLCL1,RAC2,RASD1,RND3,SOS2,WNT4
L-DOPA Degradation	1.16E00	5E-01	NaN	COMT
Glutamate Dependent Acid Resistance	1.16E00	5E-01	NaN	GAD2
LPS-stimulated MAPK Signaling	1.16E00	7.23E-02	NaN	ATF2,FOS,JUN,PIK3R1,PRKCH,RASD1
Role of NFAT in Cardiac Hypertrophy	1.13E00	5.58E-02	NaN	ADCY2,CACNA1S,CAMK4,GRB2,IL11,MEF2D,PIK3R1,PLCB1,PLCL1,PRKCH,RASD1,SOS2
TR/RXR Activation	1.12E00	7.06E-02	NaN	CAMK4,PDE3B,PIK3R1,RAB3B,RXRA,RXRG
HER-2 Signaling in Breast Cancer	1.12E00	7.06E-02	NaN	CCNE2,GRB2,PIK3R1,PRKCH,RASD1,SOS2
BMP signaling pathway	1.12E00	7.06E-02	NaN	ATF2,CAMK4,GRB2,JUN,MAGED1,RASD1
14-3-3-mediated Signaling	1.1E00	6.25E-02	NaN	FOS,GRB2,JUN,PIK3R1,PLCB1,PLCL1,PRKCH,RASD1
Myc Mediated Apoptosis Signaling	1.1E00	7.58E-02	NaN	CASP8,GRB2,PIK3R1,RASD1,SOS2
Antioxidant Action of Vitamin C	1.09E00	6.54E-02	NaN	ABHD3,GLRX,PLA2G16,PLA2G4B,PLCB1,PLCL1,PLD1
nNOS Signaling in Neurons	1.09E00	8.51E-02	NaN	CAMK4,CAPN6,PRKCH,RASD1
Wnt/β-catenin Signaling	1.09E00	5.78E-02	NaN	CSNK2A1,DKK1,FZD4,JUN,KREMEN2,PPP2R2B,PPP2R5A,SOX18,SOX8,WNT4
Synaptogenesis Signaling Pathway	1.08E00	5.11E-02	NaN	ADCY2,ATF2,BDNF,CAMK4,EFNA5,EFNB2,EPHB1,FARP1,GRB2,NTRK2,PIK3R1,RASD1,SOS2,SYT15,SYT17,THBS1
Virus Entry via Endocytic Pathways	1.08E00	6.48E-02	NaN	HLA-A,HLA-E,HLA-F,PIK3R1,PRKCH,RAC2,RASD1
CDK5 Signaling	1.08E00	6.48E-02	NaN	ADCY2,BDNF,NTRK2,PPP1R10,PPP2R2B,PPP2R5A,RASD1
Graft-versus-Host Disease Signaling	1.07E00	8.33E-02	NaN	HLA-A,HLA-E,HLA-F,IL36G
Cellular Effects of Sildenafil (Viagra)	1.06E00	6.11E-02	NaN	ADCY2,CACNA1S,CAMK4,MYH4,PDE3B,PLCB1,PLCL1,Ppp1r12b
Autoimmune Thyroid Disease Signaling	1.04E00	8.16E-02	NaN	HLA-A,HLA-E,HLA-F,TPO
PI3K/AKT Signaling	1.04E00	6.06E-02	NaN	GRB2,PIK3R1,PPP2R2B,PPP2R5A,PTGS2,RASD1,SOS2,THEM4
IL-8 Signaling	1.04E00	5.5E-02	NaN	CXCR2,FLT4,FOS,JUN,PIK3R1,PLD1,PRKCH,PTGS2,RAC2,RASD1,RND3
IL-10 Signaling	1.03E00	7.25E-02	NaN	ARG2,FOS,IL1RAP,IL36G,JUN
Glioma Signaling	1.03E00	6.31E-02	NaN	CAMK4,CDKN2B,GRB2,PIK3R1,PRKCH,RASD1,SOS2
Acute Myeloid Leukemia Signaling	1.02E00	6.67E-02	NaN	CSF3R,GRB2,KITLG,PIK3R1,RASD1,SOS2
TNFR1 Signaling	1.02E00	8E-02	NaN	CASP8,FOS,JUN,TNFAIP3
4-1BB Signaling in T Lymphocytes	1E00	9.38E-02	NaN	ATF2,JUN,TRAF1
STAT3 Pathway	1E00	5.93E-02	NaN	CXCR2,FLT4,IL5RA,IL6R,NTRK2,RASD1,SOCS1,SOCS4
Tetrahydrobiopterin Biosynthesis I	9.96E-01	3.33E-01	NaN	GCH1
Thyroid Hormone Biosynthesis	9.96E-01	3.33E-01	NaN	TPO
Tetrahydrobiopterin Biosynthesis II	9.96E-01	3.33E-01	NaN	GCH1
Prostate Cancer Signaling	9.91E-01	6.52E-02	NaN	ATF2,CCNE2,GRB2,PIK3R1,RASD1,SOS2
UVC-Induced MAPK Signaling	9.91E-01	7.84E-02	NaN	FOS,JUN,PRKCH,RASD1
Melatonin Signaling	9.75E-01	6.94E-02	NaN	CAMK4,PLCB1,PLCL1,PRKCH,RORB
Actin Nucleation by ARP-WASP Complex	9.75E-01	6.94E-02	NaN	GRB2,RAC2,RASD1,RND3,SOS2
Dendritic Cell Maturation	9.55E-01	5.43E-02	NaN	ATF2,DDR2,HLA-A,HLA-E,HLA-F,IL36G,LEPR,PIK3R1,PLCB1,PLCL1
Neuroprotective Role of THOP1 in Alzheimer's Disease	9.55E-01	6.03E-02	NaN	APP,CFD,HLA-A,HLA-E,HLA-F,NFYA,PRSS23
UVB-Induced MAPK Signaling	9.47E-01	7.55E-02	NaN	FOS,JUN,PIK3R1,PRKCH
Role of JAK2 in Hormone-like Cytokine Signaling	9.43E-01	8.82E-02	NaN	PRLR,SOCS1,SOCS4
Retinoate Biosynthesis I	9.43E-01	8.82E-02	NaN	ADH7,ALDH1A2,RDH16
Hypoxia Signaling in the Cardiovascular System	9.36E-01	6.76E-02	NaN	ARNT,ATF2,JUN,UBE2T,UBE2W
Cardiac β-adrenergic Signaling	9.32E-01	5.71E-02	NaN	ADCY2,CACNA1S,FICD,PDE3B,PDE6A,PPP1R10,PPP2R2B,PPP2R5A
mTOR Signaling	9.17E-01	5.21E-02	NaN	DDIT4,EIF4A3,MAPKAP1,PIK3R1,PLD1,PPP2R2B,PPP2R5A,PRKCH,RAC2,RASD1,RND3
Estrogen-Dependent Breast Cancer Signaling	9.17E-01	6.67E-02	NaN	ATF2,FOS,JUN,PIK3R1,RASD1
Noradrenaline and Adrenaline Degradation	9.14E-01	8.57E-02	NaN	ADH7,ALDH1A2,COMT
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	9E-01	5.29E-02	NaN	ARG2,FOS,JUN,PIK3R1,PPP1R10,PPP2R2B,PPP2R5A,PRKCH,RAC2,RND3
Toll-like Receptor Signaling	9E-01	6.58E-02	NaN	FOS,IL36G,JUN,TNFAIP3,TRAF1
Natural Killer Cell Signaling	8.96E-01	5.83E-02	NaN	GRB2,PIK3R1,PRKCH,RAC2,RASD1,SOS2,VAV3
GP6 Signaling Pathway	8.96E-01	5.83E-02	NaN	CAMK4,COL4A1,COL4A2,COL4A3BP,ITGA2B,PIK3R1,PRKCH
UVA-Induced MAPK Signaling	8.93E-01	6.12E-02	NaN	FOS,JUN,PIK3R1,PLCB1,PLCL1,RASD1
Endocannabinoid Cancer Inhibition Pathway	8.83E-01	5.56E-02	NaN	ADCY2,ATF2,ATF3,CASP8,CCNE2,DDIT3,PIK3R1,SNAI2
Arsenate Detoxification I (Glutaredoxin)	8.79E-01	2.5E-01	NaN	GLRX2
PRPP Biosynthesis I	8.79E-01	2.5E-01	NaN	PRPS1
Ascorbate Recycling (Cytosolic)	8.79E-01	2.5E-01	NaN	GLRX
Glutathione Redox Reactions II	8.79E-01	2.5E-01	NaN	GLRX
Arginine Degradation I (Arginase Pathway)	8.79E-01	2.5E-01	NaN	ARG2
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	8.79E-01	2.5E-01	NaN	EHHADH
CXCR4 Signaling	8.73E-01	5.36E-02	NaN	ADCY2,FOS,JUN,PIK3R1,PLCB1,PRKCH,RAC2,RASD1,RND3
Glutamate Receptor Signaling	8.63E-01	7.02E-02	NaN	CAMK4,HOMER2,SLC17A8,SLC1A1
RhoA Signaling	8.57E-01	5.69E-02	NaN	ARHGEF12,CDC42EP3,PFN4,PLD1,Ppp1r12b,RAPGEF2,RND3
Th1 Pathway	8.57E-01	5.69E-02	NaN	DLL1,GATA3,GRB2,HLA-A,IL6R,PIK3R1,SOCS1
GADD45 Signaling	8.51E-01	1.05E-01	NaN	CCNE2,GADD45B
DNA damage-induced 14-3-3σ Signaling	8.51E-01	1.05E-01	NaN	CCNB3,CCNE2
Regulation of the Epithelial-Mesenchymal Transition Pathway	8.48E-01	5.15E-02	NaN	FGF1,FZD4,GRB2,ID2,PIK3R1,RASD1,SNAI1,SNAI2,SOS2,WNT4
